Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
30,MIN,2024-10-24,117,@,SAC,W 117-115,240,41,86,.477,21,36,.583,20,50,.400,15,17,.882,117,38,82,.463,27,53,.509,11,29,.379,28,35,.800,115
31,DAL,2024-10-24,120,,SAS,W 120-109,240,42,102,.412,23,58,.397,19,44,.432,17,23,.739,120,39,86,.453,27,50,.540,12,36,.333,19,24,.792,109
32,BOS,2024-10-24,122,@,WAS,W 122-102,240,42,90,.467,25,45,.556,17,45,.378,21,27,.778,122,41,95,.432,34,59,.576,7,36,.194,13,18,.722,102
33,UTA,2024-10-25,86,,GSW,L 86-127,240,29,92,.315,20,50,.400,9,42,.214,19,26,.731,86,51,106,.481,31,56,.554,20,50,.400,5,6,.833,127
34,IND,2024-10-25,98,@,NYK,L 98-123,240,41,83,.494,38,53,.717,3,30,.100,13,20,.650,98,44,84,.524,32,57,.561,12,27,.444,23,29,.793,123
35,DET,2024-10-25,101,@,CLE,L 101-113,240,38,81,.469,25,49,.510,13,32,.406,12,17,.706,101,42,82,.512,29,48,.604,13,34,.382,16,23,.696,113
36,BRK,2024-10-25,101,@,ORL,L 101-116,240,35,83,.422,21,46,.457,14,37,.378,17,21,.810,101,39,75,.520,24,45,.533,15,30,.500,23,33,.697,116
37,POR,2024-10-25,103,,NOP,L 103-105,240,37,90,.411,24,53,.453,13,37,.351,16,20,.800,103,36,86,.419,24,54,.444,12,32,.375,21,31,.677,105
38,NOP,2024-10-25,105,@,POR,W 105-103,240,36,86,.419,24,54,.444,12,32,.375,21,31,.677,105,37,90,.411,24,53,.453,13,37,.351,16,20,.800,103
39,PHI,2024-10-25,107,@,TOR,L 107-115,240,29,76,.382,20,47,.426,9,29,.310,40,53,.755,107,35,76,.461,29,53,.547,6,23,.261,39,46,.848,115
40,MEM,2024-10-25,108,@,HOU,L 108-128,240,38,91,.418,28,63,.444,10,28,.357,22,36,.611,108,43,98,.439,26,55,.473,17,43,.395,25,36,.694,128
41,CLE,2024-10-25,113,,DET,W 113-101,240,42,82,.512,29,48,.604,13,34,.382,16,23,.696,113,38,81,.469,25,49,.510,13,32,.406,12,17,.706,101
