Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
75,CHI,2024-11-13,124,@,NYK,W 124-123,240,44,82,0.537,30,46,0.652,14,36,0.389,22,27,0.815,124,48,94,0.511,33,57,0.579,15,37,0.405,12,18,0.667,123
76,DEN,2024-11-06,124,,OKC,W 124-122,240,42,89,0.472,26,51,0.51,16,38,0.421,24,33,0.727,124,44,100,0.44,28,60,0.467,16,40,0.4,18,23,0.783,122
77,MEM,2024-11-02,124,@,PHI,W 124-107,240,48,87,0.552,36,60,0.6,12,27,0.444,16,21,0.762,124,36,89,0.404,17,43,0.395,19,46,0.413,16,20,0.8,107
78,BOS,2024-11-01,124,@,CHO,W 124-109,240,41,86,0.477,28,44,0.636,13,42,0.31,29,35,0.829,124,42,91,0.462,23,43,0.535,19,48,0.396,6,12,0.5,109
79,GSW,2024-10-29,124,,NOP,W 124-106,240,46,97,0.474,25,51,0.49,21,46,0.457,11,13,0.846,124,40,74,0.541,31,52,0.596,9,22,0.409,17,24,0.708,106
80,BOS,2024-10-26,124,@,DET,W 124-118,240,38,90,0.422,16,42,0.381,22,48,0.458,26,30,0.867,124,43,88,0.489,29,49,0.592,14,39,0.359,18,22,0.818,118
81,MEM,2024-10-26,124,,ORL,W 124-111,240,46,86,0.535,33,52,0.635,13,34,0.382,19,24,0.792,124,37,87,0.425,20,39,0.513,17,48,0.354,20,28,0.714,111
82,UTA,2024-10-23,124,,MEM,L 124-126,240,40,85,0.471,30,59,0.508,10,26,0.385,34,45,0.756,124,43,91,0.473,26,46,0.565,17,45,0.378,23,32,0.719,126
83,MIL,2024-10-23,124,@,PHI,W 124-109,240,43,80,0.538,27,43,0.628,16,37,0.432,22,31,0.71,124,41,98,0.418,33,67,0.493,8,31,0.258,19,27,0.704,109
84,TOR,2024-11-16,123,@,BOS,L 123-126 (OT),265,50,98,0.51,41,75,0.547,9,23,0.391,14,21,0.667,123,44,99,0.444,23,38,0.605,21,61,0.344,17,19,0.895,126
85,GSW,2024-11-15,123,,MEM,W 123-118,240,43,98,0.439,24,52,0.462,19,46,0.413,18,25,0.72,123,42,103,0.408,35,61,0.574,7,42,0.167,27,33,0.818,118
86,MEM,2024-11-13,123,@,LAL,L 123-128,240,42,89,0.472,30,56,0.536,12,33,0.364,27,33,0.818,123,43,85,0.506,23,44,0.523,20,41,0.488,22,32,0.688,128
87,NYK,2024-11-13,123,,CHI,L 123-124,240,48,94,0.511,33,57,0.579,15,37,0.405,12,18,0.667,123,44,82,0.537,30,46,0.652,14,36,0.389,22,27,0.815,124
88,DET,2024-11-12,123,,MIA,W 123-121 (OT),265,43,92,0.467,30,56,0.536,13,36,0.361,24,28,0.857,123,47,101,0.465,30,56,0.536,17,45,0.378,10,13,0.769,121
89,LAL,2024-11-10,123,,TOR,W 123-103,240,44,86,0.512,32,49,0.653,12,37,0.324,23,28,0.821,123,37,82,0.451,27,53,0.509,10,29,0.345,19,22,0.864,103
90,MIL,2024-11-07,123,,UTA,W 123-100,240,43,84,0.512,28,49,0.571,15,35,0.429,22,30,0.733,123,33,77,0.429,16,36,0.444,17,41,0.415,17,18,0.944,100
91,BOS,2024-11-04,123,@,ATL,W 123-93,240,48,99,0.485,30,44,0.682,18,55,0.327,9,13,0.692,123,37,89,0.416,31,58,0.534,6,31,0.194,13,16,0.813,93
92,SAC,2024-11-01,123,@,ATL,W 123-115,240,43,89,0.483,32,56,0.571,11,33,0.333,26,30,0.867,123,41,92,0.446,22,42,0.524,19,50,0.38,14,18,0.778,115
93,MEM,2024-10-28,123,,CHI,L 123-126,240,51,111,0.459,37,68,0.544,14,43,0.326,7,13,0.538,123,45,100,0.45,20,47,0.426,25,53,0.472,11,17,0.647,126
94,LAL,2024-10-25,123,,PHO,W 123-116,240,40,75,0.533,26,48,0.542,14,27,0.519,29,39,0.744,123,42,82,0.512,25,45,0.556,17,37,0.459,15,17,0.882,116
95,NYK,2024-10-25,123,,IND,W 123-98,240,44,84,0.524,32,57,0.561,12,27,0.444,23,29,0.793,123,41,83,0.494,38,53,0.717,3,30,0.1,13,20,0.65,98
96,NOP,2024-10-23,123,,CHI,W 123-111,240,45,97,0.464,31,60,0.517,14,37,0.378,19,21,0.905,123,42,86,0.488,32,52,0.615,10,34,0.294,17,25,0.68,111
97,BRK,2024-11-15,122,@,NYK,L 122-124,240,39,89,0.438,20,43,0.465,19,46,0.413,25,28,0.893,122,44,83,0.53,31,45,0.689,13,38,0.342,23,28,0.821,124
98,POR,2024-11-12,122,,MIN,W 122-108,240,43,84,0.512,25,52,0.481,18,32,0.563,18,20,0.9,122,37,73,0.507,24,38,0.632,13,35,0.371,21,23,0.913,108
99,DEN,2024-11-10,122,,DAL,W 122-120,240,45,89,0.506,31,60,0.517,14,29,0.483,18,26,0.692,122,48,90,0.533,38,57,0.667,10,33,0.303,14,19,0.737,120
100,MIA,2024-11-08,122,@,DEN,L 122-135,240,46,94,0.489,26,51,0.51,20,43,0.465,10,13,0.769,122,50,81,0.617,32,46,0.696,18,35,0.514,17,19,0.895,135
101,DET,2024-11-08,122,,ATL,W 122-121,240,44,86,0.512,31,53,0.585,13,33,0.394,21,31,0.677,122,44,97,0.454,29,61,0.475,15,36,0.417,18,23,0.783,121
102,NOP,2024-11-06,122,,CLE,L 122-131,240,42,88,0.477,29,61,0.475,13,27,0.481,25,28,0.893,122,52,96,0.542,35,61,0.574,17,35,0.486,10,13,0.769,131
103,SAC,2024-11-06,122,,TOR,W 122-107,240,42,90,0.467,32,55,0.582,10,35,0.286,28,32,0.875,122,43,88,0.489,33,54,0.611,10,34,0.294,11,15,0.733,107
104,OKC,2024-11-06,122,@,DEN,L 122-124,240,44,100,0.44,28,60,0.467,16,40,0.4,18,23,0.783,122,42,89,0.472,26,51,0.51,16,38,0.421,24,33,0.727,124
105,MEM,2024-10-31,122,,MIL,W 122-99,240,43,82,0.524,35,54,0.648,8,28,0.286,28,31,0.903,122,41,96,0.427,32,54,0.593,9,42,0.214,8,19,0.421,99
106,MIL,2024-10-25,122,,CHI,L 122-133,240,46,93,0.495,33,53,0.623,13,40,0.325,17,25,0.68,122,46,96,0.479,25,49,0.51,21,47,0.447,20,23,0.87,133
107,BOS,2024-10-24,122,@,WAS,W 122-102,240,42,90,0.467,25,45,0.556,17,45,0.378,21,27,0.778,122,41,95,0.432,34,59,0.576,7,36,0.194,13,18,0.722,102
108,DAL,2024-11-17,121,@,OKC,W 121-119,240,40,84,0.476,29,57,0.509,11,27,0.407,30,36,0.833,121,43,87,0.494,29,45,0.644,14,42,0.333,19,25,0.76,119
109,SAC,2024-11-16,121,,UTA,W 121-117,240,42,83,0.506,23,42,0.548,19,41,0.463,18,25,0.72,121,37,75,0.493,25,49,0.51,12,26,0.462,31,42,0.738,117
110,MIA,2024-11-12,121,@,DET,L 121-123 (OT),265,47,101,0.465,30,56,0.536,17,45,0.378,10,13,0.769,121,43,92,0.467,30,56,0.536,13,36,0.361,24,28,0.857,123
111,ORL,2024-11-10,121,,WAS,W 121-94,240,41,91,0.451,24,43,0.558,17,48,0.354,22,25,0.88,121,33,72,0.458,23,39,0.59,10,33,0.303,18,25,0.72,94
112,NYK,2024-11-10,121,@,IND,L 121-132,240,46,83,0.554,39,58,0.672,7,25,0.28,22,27,0.815,121,45,88,0.511,24,42,0.571,21,46,0.457,21,25,0.84,132
113,ATL,2024-11-08,121,@,DET,L 121-122,240,44,97,0.454,29,61,0.475,15,36,0.417,18,23,0.783,121,44,86,0.512,31,53,0.585,13,33,0.394,21,31,0.677,122
114,ATL,2024-11-06,121,,NYK,W 121-116,240,45,100,0.45,30,62,0.484,15,38,0.395,16,22,0.727,121,41,84,0.488,19,37,0.514,22,47,0.468,12,15,0.8,116
115,DEN,2024-11-04,121,,TOR,W 121-119,240,41,83,0.494,31,52,0.596,10,31,0.323,29,38,0.763,121,47,103,0.456,34,64,0.531,13,39,0.333,12,18,0.667,119
116,HOU,2024-11-02,121,,GSW,L 121-127 (OT),265,44,107,0.411,29,62,0.468,15,45,0.333,18,24,0.75,121,40,78,0.513,25,46,0.543,15,32,0.469,32,50,0.64,127
117,WAS,2024-10-28,121,@,ATL,W 121-119,240,41,91,0.451,20,47,0.426,21,44,0.477,18,22,0.818,121,39,81,0.481,24,41,0.585,15,40,0.375,26,36,0.722,119
118,MIN,2024-11-17,120,,PHO,W 120-117,240,42,80,0.525,25,41,0.61,17,39,0.436,19,26,0.731,120,46,85,0.541,32,54,0.593,14,31,0.452,11,15,0.733,117
119,LAL,2024-11-15,120,@,SAS,W 120-115,240,44,88,0.5,30,57,0.526,14,31,0.452,18,23,0.783,120,43,88,0.489,26,43,0.605,17,45,0.378,12,16,0.75,115
120,DET,2024-11-13,120,@,MIL,L 120-127 (OT),265,46,100,0.46,28,62,0.452,18,38,0.474,10,13,0.769,120,45,95,0.474,30,60,0.5,15,35,0.429,22,25,0.88,127
